entity_id,state,datetime
sensor.buro_temperatur_temperature,17.94,2024-12-03T09:30:58.479Z
sensor.buro_temperatur_temperature,18.14,2024-12-03T10:00:58.443Z
sensor.buro_temperatur_temperature,18.48,2024-12-03T10:16:40.943Z
sensor.buro_temperatur_temperature,18.78,2024-12-03T10:30:58.398Z
sensor.buro_temperatur_temperature,19.21,2024-12-03T10:51:40.864Z
sensor.buro_temperatur_temperature,19.3,2024-12-03T11:00:58.370Z
sensor.buro_temperatur_temperature,19.33,2024-12-03T11:30:58.278Z
sensor.buro_temperatur_temperature,19.51,2024-12-03T12:30:58.143Z
sensor.buro_temperatur_temperature,19.55,2024-12-03T13:00:58.081Z
sensor.buro_temperatur_temperature,19.35,2024-12-03T13:30:58.027Z
sensor.buro_temperatur_temperature,19.33,2024-12-03T14:00:57.982Z
sensor.buro_temperatur_temperature,19.38,2024-12-03T14:30:57.977Z
sensor.buro_temperatur_temperature,19.38,2024-12-03T14:45:43.735Z
sensor.buro_temperatur_temperature,19.68,2024-12-03T15:00:57.856Z
sensor.buro_temperatur_temperature,19.58,2024-12-03T15:30:57.729Z
sensor.buro_temperatur_temperature,19.35,2024-12-03T16:00:57.769Z
sensor.buro_temperatur_temperature,19.13,2024-12-03T16:30:57.621Z
sensor.buro_temperatur_temperature,18.94,2024-12-03T17:00:57.501Z
sensor.buro_temperatur_temperature,18.83,2024-12-03T17:30:57.421Z
sensor.buro_temperatur_temperature,19.22,2024-12-03T17:56:39.892Z
sensor.buro_temperatur_temperature,19.38,2024-12-03T18:00:57.247Z
sensor.buro_temperatur_temperature,19.79,2024-12-03T18:11:39.851Z
sensor.buro_temperatur_temperature,20.15,2024-12-03T18:21:39.915Z
sensor.buro_temperatur_temperature,20.48,2024-12-03T18:30:57.328Z
sensor.buro_temperatur_temperature,20.82,2024-12-03T18:41:39.864Z
sensor.buro_temperatur_temperature,21.14,2024-12-03T18:56:39.905Z
sensor.buro_temperatur_temperature,21.1,2024-12-03T19:00:57.300Z
sensor.buro_temperatur_temperature,20.77,2024-12-03T19:26:39.813Z
